Serial,FIPS,Name,CountyName,State
1,1001,Autauga,AUTAUGA,AL
2,1003,Baldwin,BALDWIN,AL
3,1005,Barbour,BARBOUR,AL
4,1007,Bibb,BIBB,AL
5,1009,Blount,BLOUNT,AL
6,1011,Bullock,BULLOCK,AL
7,1013,Butler,BUTLER,AL
8,1015,Calhoun,CALHOUN,AL
9,1017,Chambers,CHAMBERS,AL
10,1019,Cherokee,CHEROKEE,AL
11,1021,Chilton,CHILTON,AL
12,1023,Choctaw,CHOCTAW,AL
13,1025,Clarke,CLARKE,AL
14,1027,Clay,CLAY,AL
15,1029,Cleburne,CLEBURNE,AL
16,1031,Coffee,COFFEE,AL
17,1033,Colbert,COLBERT,AL
18,1035,Conecuh,CONECUH,AL
19,1037,Coosa,COOSA,AL
20,1039,Covington,COVINGTON,AL
21,1041,Crenshaw,CRENSHAW,AL
22,1043,Cullman,CULLMAN,AL
23,1045,Dale,DALE,AL
24,1047,Dallas,DALLAS,AL
25,1049,De Kalb,DE KALB,AL
26,1051,Elmore,ELMORE,AL
27,1053,Escambia,ESCAMBIA,AL
28,1055,Etowah,ETOWAH,AL
29,1057,Fayette,FAYETTE,AL
30,1059,Franklin,FRANKLIN,AL
31,1061,Geneva,GENEVA,AL
32,1063,Greene,GREENE,AL
33,1065,Hale,HALE,AL
34,1067,Henry,HENRY,AL
35,1069,Houston,HOUSTON,AL
36,1071,Jackson,JACKSON,AL
37,1073,Jefferson,JEFFERSON,AL
38,1075,Lamar,LAMAR,AL
39,1077,Lauderdale,LAUDERDALE,AL
40,1079,Lawrence,LAWRENCE,AL
41,1081,Lee,LEE,AL
42,1083,Limestone,LIMESTONE,AL
43,1085,Lowndes,LOWNDES,AL
44,1087,Macon,MACON,AL
45,1089,Madison,MADISON,AL
46,1091,Marengo,MARENGO,AL
47,1093,Marion,MARION,AL
48,1095,Marshall,MARSHALL,AL
49,1097,Mobile,MOBILE,AL
50,1099,Monroe,MONROE,AL
51,1101,Montgomery,MONTGOMERY,AL
52,1103,Morgan,MORGAN,AL
53,1105,Perry,PERRY,AL
54,1107,Pickens,PICKENS,AL
55,1109,Pike,PIKE,AL
56,1111,Randolph,RANDOLPH,AL
57,1113,Russell,RUSSELL,AL
58,1115,St Clair,ST CLAIR,AL
59,1117,Shelby,SHELBY,AL
60,1119,Sumter,SUMTER,AL
61,1121,Talladega,TALLADEGA,AL
62,1123,Tallapoosa,TALLAPOOSA,AL
63,1125,Tuscaloosa,TUSCALOOSA,AL
64,1127,Walker,WALKER,AL
65,1129,Washington,WASHINGTON,AL
66,1131,Wilcox,WILCOX,AL
67,1133,Winston,WINSTON,AL
68,2013,Aleutians East,ALEUTIANS EAST,AK
69,2016,Aleutians West,ALEUTIANS WEST,AK
70,2020,Anchorage,ANCHORAGE,AK
71,2050,Bethel,BETHEL,AK
72,2060,Bristol Bay,BRISTOL BAY,AK
73,2068,Denali,DENALI,AK
74,2070,Dillingham,DILLINGHAM,AK
75,2090,Fairbanks North Star,FAIRBANKS NORTH STAR,AK
76,2100,Haines,HAINES,AK
77,2110,Juneau,JUNEAU,AK
78,2122,Kenai Peninsula,KENAI PENINSULA,AK
79,2130,Ketchikan Gateway,KETCHIKAN GATEWAY,AK
80,2150,Kodiak Island,KODIAK ISLAND,AK
81,2164,Lake and Peninsula,LAKE AND PENINSULA,AK
82,2170,Matanuska-Susitna,MATANUSKA-SUSITNA,AK
83,2180,Nome,NOME,AK
84,2185,North Slope,NORTH SLOPE,AK
85,2188,Northwest Arctic,NORTHWEST ARCTIC,AK
86,2201,Prince of Wales-Outer Ketchikan,PRINCE OF WALES-OUTER KETCHIKAN,AK
87,2220,Sitka,SITKA,AK
88,2232,Skagway-Hoonah-Angoon,SKAGWAY-HOONAH-ANGOON,AK
89,2240,Southeast Fairbanks,SOUTHEAST FAIRBANKS,AK
90,2261,Valdez-Cordova,VALDEZ-CORDOVA,AK
91,2270,Wade Hampton,WADE HAMPTON,AK
92,2280,Wrangell-Petersburg,WRANGELL-PETERSBURG,AK
93,2282,Yakutat,YAKUTAT,AK
94,2290,Yukon-Koyukuk,YUKON-KOYUKUK,AK
95,4001,Apache,APACHE,AZ
96,4003,Cochise,COCHISE,AZ
97,4005,Coconino,COCONINO,AZ
98,4007,Gila,GILA,AZ
99,4009,Graham,GRAHAM,AZ
100,4011,Greenlee,GREENLEE,AZ
101,4012,La Paz,LA PAZ,AZ
102,4013,Maricopa,MARICOPA,AZ
103,4015,Mohave,MOHAVE,AZ
104,4017,Navajo,NAVAJO,AZ
105,4019,Pima,PIMA,AZ
106,4021,Pinal,PINAL,AZ
107,4023,Santa Cruz,SANTA CRUZ,AZ
108,4025,Yavapai,YAVAPAI,AZ
109,4027,Yuma,YUMA,AZ
110,5001,Arkansas,ARKANSAS,AR
111,5003,Ashley,ASHLEY,AR
112,5005,Baxter,BAXTER,AR
113,5007,Benton,BENTON,AR
114,5009,Boone,BOONE,AR
115,5011,Bradley,BRADLEY,AR
116,5013,Calhoun,CALHOUN,AR
117,5015,Carroll,CARROLL,AR
118,5017,Chicot,CHICOT,AR
119,5019,Clark,CLARK,AR
120,5021,Clay,CLAY,AR
121,5023,Cleburne,CLEBURNE,AR
122,5025,Cleveland,CLEVELAND,AR
123,5027,Columbia,COLUMBIA,AR
124,5029,Conway,CONWAY,AR
125,5031,Craighead,CRAIGHEAD,AR
126,5033,Crawford,CRAWFORD,AR
127,5035,Crittenden,CRITTENDEN,AR
128,5037,Cross,CROSS,AR
129,5039,Dallas,DALLAS,AR
130,5041,Desha,DESHA,AR
131,5043,Drew,DREW,AR
132,5045,Faulkner,FAULKNER,AR
133,5047,Franklin,FRANKLIN,AR
134,5049,Fulton,FULTON,AR
135,5051,Garland,GARLAND,AR
136,5053,Grant,GRANT,AR
137,5055,Greene,GREENE,AR
138,5057,Hempstead,HEMPSTEAD,AR
139,5059,Hot Spring,HOT SPRING,AR
140,5061,Howard,HOWARD,AR
141,5063,Independence,INDEPENDENCE,AR
142,5065,Izard,IZARD,AR
143,5067,Jackson,JACKSON,AR
144,5069,Jefferson,JEFFERSON,AR
145,5071,Johnson,JOHNSON,AR
146,5073,Lafayette,LAFAYETTE,AR
147,5075,Lawrence,LAWRENCE,AR
